VehicleID,Date,Time,Camera,Speed,Type
1,06/27/2022,17:52,cam1,0,Bus
4,06/27/2022,17:52,cam1,0,Bus
5,06/27/2022,17:52,cam1,0,Motorcycle
7,06/27/2022,17:52,cam1,0,Bus
11,06/27/2022,17:52,cam1,0,Motorcycle
9,06/27/2022,17:52,cam1,0,Motorcycle
14,06/27/2022,17:52,cam1,0,Motorcycle
8,06/27/2022,17:52,cam1,0,Motorcycle
21,06/27/2022,17:52,cam1,0,Motorcycle
16,06/27/2022,17:52,cam1,0,Motorcycle
22,06/27/2022,17:53,cam1,0,Motorcycle
12,06/27/2022,17:52,cam1,0,Motorcycle
23,06/27/2022,17:53,cam1,0,Motorcycle
25,06/27/2022,17:53,cam1,0,Motorcycle
26,06/27/2022,17:53,cam1,0,Motorcycle
