VehicleID,Date,Time,Camera,Speed,Type
27,06/27/2022,07:12,cam2,0,Car
30,06/27/2022,07:12,cam2,0,Car
31,06/27/2022,07:12,cam2,0,Motorcycle
32,06/27/2022,07:12,cam2,0,Car
21,06/27/2022,07:12,cam2,0,Motorcycle
6,06/27/2022,07:12,cam2,0,Car
23,06/27/2022,07:12,cam2,0,Car
43,06/27/2022,07:12,cam2,0,Motorcycle
40,06/27/2022,07:12,cam2,0,Car
46,06/27/2022,07:13,cam2,0,Car
48,06/27/2022,07:13,cam2,0,Car
49,06/27/2022,07:13,cam2,0,Motorcycle
58,06/27/2022,07:13,cam2,0,Motorcycle
22,06/27/2022,07:12,cam2,0,Car
69,06/27/2022,07:13,cam2,0,Car
73,06/27/2022,07:13,cam2,0,Car
74,06/27/2022,07:13,cam2,0,Car
52,06/27/2022,07:13,cam2,0,Car
24,06/27/2022,07:12,cam2,0,Car
81,06/27/2022,07:13,cam2,0,Car
62,06/27/2022,07:13,cam2,0,Motorcycle
86,06/27/2022,07:13,cam2,0,Car
70,06/27/2022,07:13,cam2,0,Car
82,06/27/2022,07:13,cam2,0,Car
103,06/27/2022,07:13,cam2,0,Car
99,06/27/2022,07:13,cam2,0,Car
105,06/27/2022,07:13,cam2,0,Car
104,06/27/2022,07:13,cam2,0,Motorcycle
107,06/27/2022,07:13,cam2,0,Motorcycle
112,06/27/2022,07:13,cam2,0,Car
50,06/27/2022,07:13,cam2,0,Car
118,06/27/2022,07:14,cam2,0,Car
67,06/27/2022,07:13,cam2,0,Car
51,06/27/2022,07:13,cam2,0,Car
54,06/27/2022,07:13,cam2,0,Car
100,06/27/2022,07:13,cam2,0,Car
126,06/27/2022,07:14,cam2,0,Motorcycle
115,06/27/2022,07:14,cam2,0,Car
133,06/27/2022,07:14,cam2,0,Car
134,06/27/2022,07:14,cam2,0,Car
139,06/27/2022,07:14,cam2,0,Motorcycle
83,06/27/2022,07:13,cam2,0,Car
61,06/27/2022,07:13,cam2,0,Car
147,06/27/2022,07:14,cam2,0,Motorcycle
171,06/27/2022,07:14,cam2,0,Car
167,06/27/2022,07:14,cam2,0,Car
159,06/27/2022,07:14,cam2,0,Car
173,06/27/2022,07:14,cam2,0,Car
120,06/27/2022,07:14,cam2,0,Motorcycle
169,06/27/2022,07:14,cam2,0,Motorcycle
185,06/27/2022,07:14,cam2,0,Car
84,06/27/2022,07:13,cam2,0,Car
184,06/27/2022,07:14,cam2,0,Motorcycle
141,06/27/2022,07:14,cam2,0,Car
156,06/27/2022,07:14,cam2,0,Motorcycle
125,06/27/2022,07:14,cam2,0,Car
176,06/27/2022,07:14,cam2,0,Car
189,06/27/2022,07:14,cam2,0,Motorcycle
93,06/27/2022,07:13,cam2,0,Car
192,06/27/2022,07:14,cam2,0,Motorcycle
198,06/27/2022,07:14,cam2,0,Car
210,06/27/2022,07:14,cam2,0,Motorcycle
119,06/27/2022,07:14,cam2,0,Car
201,06/27/2022,07:14,cam2,0,Car
209,06/27/2022,07:14,cam2,0,Car
203,06/27/2022,07:14,cam2,0,Car
150,06/27/2022,07:14,cam2,0,Car
187,06/27/2022,07:14,cam2,0,Car
195,06/27/2022,07:14,cam2,0,Motorcycle
84,06/27/2022,07:15,cam2,0,Car
180,06/27/2022,07:14,cam2,0,Car
218,06/27/2022,07:15,cam2,0,Car
90,06/27/2022,07:13,cam2,0,Car
144,06/27/2022,07:14,cam2,0,Car
42,06/27/2022,07:12,cam2,0,Car
140,06/27/2022,07:14,cam2,0,Car
164,06/27/2022,07:14,cam2,0,Car
205,06/27/2022,07:14,cam2,0,Car
227,06/27/2022,07:15,cam2,0,Car
157,06/27/2022,07:14,cam2,0,Car
179,06/27/2022,07:14,cam2,0,Car
191,06/27/2022,07:14,cam2,0,Car
206,06/27/2022,07:14,cam2,0,Car
214,06/27/2022,07:14,cam2,0,Motorcycle
215,06/27/2022,07:14,cam2,0,Car
217,06/27/2022,07:14,cam2,0,Motorcycle
221,06/27/2022,07:15,cam2,0,Car
233,06/27/2022,07:15,cam2,0,Car
240,06/27/2022,07:15,cam2,0,Car
247,06/27/2022,07:15,cam2,0,Car
254,06/27/2022,07:15,cam2,0,Car
238,06/27/2022,07:15,cam2,0,Car
257,06/27/2022,07:15,cam2,0,Car
259,06/27/2022,07:15,cam2,0,Car
245,06/27/2022,07:15,cam2,0,Car
253,06/27/2022,07:15,cam2,0,Car
6,06/27/2022,07:13,cam2,0,Car
270,06/27/2022,07:15,cam2,0,Car
276,06/27/2022,07:15,cam2,0,Motorcycle
237,06/27/2022,07:15,cam2,0,Car
279,06/27/2022,07:15,cam2,0,Car
278,06/27/2022,07:15,cam2,0,Motorcycle
241,06/27/2022,07:15,cam2,0,Car
239,06/27/2022,07:15,cam2,0,Car
271,06/27/2022,07:15,cam2,0,Car
295,06/27/2022,07:15,cam2,0,Car
286,06/27/2022,07:15,cam2,0,Motorcycle
248,06/27/2022,07:15,cam2,0,Car
260,06/27/2022,07:15,cam2,0,Car
265,06/27/2022,07:15,cam2,0,Car
242,06/27/2022,07:15,cam2,0,Car
301,06/27/2022,07:15,cam2,0,Car
284,06/27/2022,07:15,cam2,0,Motorcycle
275,06/27/2022,07:15,cam2,0,Car
317,06/27/2022,07:15,cam2,0,Car
326,06/27/2022,07:15,cam2,0,Car
251,06/27/2022,07:15,cam2,0,Car
306,06/27/2022,07:15,cam2,0,Motorcycle
325,06/27/2022,07:15,cam2,0,Car
246,06/27/2022,07:15,cam2,0,Car
334,06/27/2022,07:16,cam2,0,Motorcycle
265,06/27/2022,07:16,cam2,0,Car
333,06/27/2022,07:15,cam2,0,Car
331,06/27/2022,07:15,cam2,0,Motorcycle
293,06/27/2022,07:15,cam2,0,Car
298,06/27/2022,07:15,cam2,0,Car
328,06/27/2022,07:15,cam2,0,Car
347,06/27/2022,07:16,cam2,0,Car
282,06/27/2022,07:15,cam2,0,Car
272,06/27/2022,07:15,cam2,0,Car
343,06/27/2022,07:16,cam2,0,Car
349,06/27/2022,07:16,cam2,0,Car
304,06/27/2022,07:15,cam2,0,Car
365,06/27/2022,07:16,cam2,0,Car
372,06/27/2022,07:16,cam2,0,Car
380,06/27/2022,07:16,cam2,0,Car
267,06/27/2022,07:15,cam2,0,Car
353,06/27/2022,07:16,cam2,0,Car
344,06/27/2022,07:16,cam2,0,Car
384,06/27/2022,07:16,cam2,0,Car
350,06/27/2022,07:16,cam2,0,Car
322,06/27/2022,07:15,cam2,0,Car
360,06/27/2022,07:16,cam2,0,Car
266,06/27/2022,07:15,cam2,0,Car
389,06/27/2022,07:16,cam2,0,Car
355,06/27/2022,07:16,cam2,0,Car
387,06/27/2022,07:16,cam2,0,Car
323,06/27/2022,07:15,cam2,0,Car
327,06/27/2022,07:15,cam2,0,Car
375,06/27/2022,07:16,cam2,0,Car
361,06/27/2022,07:16,cam2,0,Car
303,06/27/2022,07:15,cam2,0,Car
290,06/27/2022,07:15,cam2,0,Car
